Name of the Product,Brand Name,Product Type,Selling Price (INR),Original Price (INR),Size (Inch),Size (cm),Resolution,Discount (%),Bank Offer,Limited Time Deal
"Samsung 108 cm (43 inch) Full HD LED Smart TV, 5 Series 43T5500",Samsung,Television,27490,36990,43,108,FULL HD,25,No Bank Offer,No Limited Time Deal
"Sony BRAVIA 2 Series 126 cm (50 inches) 4K Ultra HD Smart LED Google TV, K-50S20, Black",Sony,Television,56991,79900,50,126,4K,28,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
Kodak 7XPro 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with 40W Sound Output & Bezel-Less Design,Kodak,Television,25998,46999,55,139,4K,44,No Bank Offer,No Limited Time Deal
"Xiaomi A Series 100 cm (40 inch) Full HD Smart TV, L40M8-5AIN",Xiaomi,Television,19998,29999,40,100,FULL HD,33,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Sony BRAVIA 3 Series 189 cm (75 inches) 4K Ultra HD Smart LED Google TV K-75S30, Black",Sony,Television,148791,269900,75,189,4K,44,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"Hisense 139 cm (55 inches) 4K Ultra HD Smart Google TV 55E6N, Black",Hisense,Television,30998,59999,55,139,4K,48,No Bank Offer,No Limited Time Deal
"Xiaomi X Series 108 cm (43 inch) 4K Ultra HD Smart LED Google TV, ELA5607IN Black, 2024 Model",Xiaomi,Television,24999,42999,43,108,4K,41,No Bank Offer,No Limited Time Deal
"iFFALCON 139 cm (55 inches) 4K Ultra HD Smart LED Google TV, Black, iFF55U62",iFFALCON,Television,29999,69990,55,139,4K,57,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
Kodak 7XPro 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with 40W Sound Output & Bezel-Less Design,Kodak,Television,22998,42999,50,126,4K,46,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Hisense 165.1 cm (65 inch) Ultra HD (4K) 144 Hz (VRR) Mini LED Smart TV, 65U7N, Charcoal Grey",Hisense,Television,89999,149999,65,165.1,4K,40,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Samsung 138 cm (55 Inch) 4K Ultra HD Smart TV (UA55DU7660KLXL, Black)",Samsung,Television,56740,68900,55,138,4K,17,No Bank Offer,Limited Time Deal
"Itel 80 cm (32 inch) HD Ready Android LED TV, G3265",Itel,Television,9990,22990,32,80,HD READY,56,No Bank Offer,No Limited Time Deal
Kodak 7XPro 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with 40W Sound Output & Bezel-Less Design,Kodak,Television,18997,33999,43,108,4K,44,No Bank Offer,No Limited Time Deal
"Hisense 108 cm (43 inches) QLED Ultra HD (4K) Smart Google TV 43E68N, Gray",Hisense,Television,25999,49999,43,108,4K,48,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Samsung 138 cm (55 Inch) 4K Ultra HD Smart TV (UA55DU8300ULXL, Titan Gray)",Samsung,Television,60490,78900,55,138,4K,23,No Bank Offer,Limited Time Deal
"Acer L Series 139 cm (55 inches) 4K Ultra HD Smart LED Google TV, AR55UDLGU2875AT, Black, 2024 Model",Acer,Television,31999,74999,55,139,4K,57,"Flat 12.5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
LG 139 cm (55 inch) 4K UHD Smart TV 55UR7550,LG,Television,49490,78990,55,139,4K,37,No Bank Offer,Limited Time Deal
"BPL 109 cm (43 inch) 4K Hometheatre Harman TV with Dolby Vision & Atmos, 43UE5330",BPL,Television,29999,57990,43,109,4K,48,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"TCL 81.28 cm (32 inch) HD Ready Android TV, 32S4500A, Black",TCL,Television,10990,20990,32,81.28,HD READY,47,"Flat 12.5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Haier 108 cm (43 inch) QLED Google TV, 43S80",Haier,Television,34990,54490,43,108,Not Mentioned,35,No Bank Offer,No Limited Time Deal
"Haier 164 cm (65 inch) QLED Google TV, 65S80",Haier,Television,67990,105990,65,164,Not Mentioned,35,No Bank Offer,No Limited Time Deal
"Haier 139 cm (55 inch) Mini LED Google TV, 55M80",Haier,Television,67990,120990,55,139,Not Mentioned,43,"Flat 12.5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"BPL 165 cm (65 inch) Home Theatre HARMAN QLED MAX TV with Dolby Vision & Atmos, 65UE5530",BPL,Television,69999,137990,65,165,Not Mentioned,49,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
Hisense 108 cm (43 inch) 4K Ultra HD Smart TV 43E63N (Black),Hisense,Television,23999,44999,43,108,4K,46,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Xiaomi X Series 125 cm (50 inch) 4K Ultra HD Smart LED Google TV, ELA5629IN Black, 2024 Model",Xiaomi,Television,30999,49999,50,125,4K,38,No Bank Offer,Limited Time Deal
"Sony BRAVIA 3 Series 108 cm (43 inches) 4K Ultra HD Smart LED Google TV, K-43S30, Black",Sony,Television,69340,99900,43,108,4K,30,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"Sony BRAVIA 8 Series 139 cm (55 inches) 4K Ultra HD AI Smart OLED Google TV, K-55XR80, Black",Sony,Television,197990,299900,55,139,4K,33,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"Sony BRAVIA 9 Series 215 cm (85 inches) 4K Ultra HD AI Smart Mini LED Google TV, K-85XR90, Black",Sony,Television,557991,899900,85,215,4K,37,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
